# The original VP cen file 
# All units in arcseconds
fib_id,RA,DEC,fiberd,fibersep
138,0.0,-6.186,4.2,6.8
139,7.1429800000000006,-6.186,4.2,6.8
140,14.286,-6.186,4.2,6.8
141,21.4289,-6.186,4.2,6.8
142,28.5719,-6.186,4.2,6.8
143,35.7149,-6.186,4.2,6.8
144,42.8579,-6.186,4.2,6.8
145,50.0008,-6.186,4.2,6.8
146,-46.4293,-12.372,4.2,6.8
147,-39.2864,-12.372,4.2,6.8
148,-32.1434,-12.372,4.2,6.8
149,-25.0004,-12.372,4.2,6.8
150,-17.8574,-12.372,4.2,6.8
151,-10.7145,-12.372,4.2,6.8
152,-3.5714900000000003,-12.372,4.2,6.8
153,3.5714900000000003,-12.372,4.2,6.8
154,10.7145,-12.372,4.2,6.8
155,17.8574,-12.372,4.2,6.8
156,25.0004,-12.372,4.2,6.8
157,32.1434,-12.372,4.2,6.8
158,39.2864,-12.372,4.2,6.8
159,46.4293,-12.372,4.2,6.8
160,-50.0008,-18.558,4.2,6.8
161,-42.8579,-18.558,4.2,6.8
162,-35.7149,-18.558,4.2,6.8
163,-28.5719,-18.558,4.2,6.8
164,-21.4289,-18.558,4.2,6.8
165,-14.286,-18.558,4.2,6.8
166,-7.1429800000000006,-18.558,4.2,6.8
167,0.0,-18.558,4.2,6.8
168,7.1429800000000006,-18.558,4.2,6.8
169,14.286,-18.558,4.2,6.8
170,21.4289,-18.558,4.2,6.8
171,28.5719,-18.558,4.2,6.8
172,35.7149,-18.558,4.2,6.8
173,42.8579,-18.558,4.2,6.8
174,50.0008,-18.558,4.2,6.8
175,-46.4293,-24.744,4.2,6.8
176,-39.2864,-24.744,4.2,6.8
177,-32.1434,-24.744,4.2,6.8
178,-25.0004,-24.744,4.2,6.8
179,-17.8574,-24.744,4.2,6.8
180,-10.7145,-24.744,4.2,6.8
181,-3.5714900000000003,-24.744,4.2,6.8
182,3.5714900000000003,-24.744,4.2,6.8
183,10.7145,-24.744,4.2,6.8
184,17.8574,-24.744,4.2,6.8
185,25.0004,-24.744,4.2,6.8
186,32.1434,-24.744,4.2,6.8
187,39.2864,-24.744,4.2,6.8
188,46.4293,-24.744,4.2,6.8
189,-50.0008,-30.93,4.2,6.8
190,-42.8579,-30.93,4.2,6.8
191,-35.7149,-30.93,4.2,6.8
192,-28.5719,-30.93,4.2,6.8
193,-21.4289,-30.93,4.2,6.8
194,-14.286,-30.93,4.2,6.8
195,-7.1429800000000006,-30.93,4.2,6.8
196,0.0,-30.93,4.2,6.8
197,7.1429800000000006,-30.93,4.2,6.8
198,14.286,-30.93,4.2,6.8
199,21.4289,-30.93,4.2,6.8
200,28.5719,-30.93,4.2,6.8
201,35.7149,-30.93,4.2,6.8
202,42.8579,-30.93,4.2,6.8
203,50.0008,-30.93,4.2,6.8
204,-46.4293,-37.116,4.2,6.8
205,-39.2864,-37.116,4.2,6.8
206,-32.1434,-37.116,4.2,6.8
207,-25.0004,-37.116,4.2,6.8
208,-17.8574,-37.116,4.2,6.8
209,-10.7145,-37.116,4.2,6.8
210,-3.5714900000000003,-37.116,4.2,6.8
211,3.5714900000000003,-37.116,4.2,6.8
212,10.7145,-37.116,4.2,6.8
213,17.8574,-37.116,4.2,6.8
214,25.0004,-37.116,4.2,6.8
215,32.1434,-37.116,4.2,6.8
216,39.2864,-37.116,4.2,6.8
217,46.4293,-37.116,4.2,6.8
218,-50.0008,-43.302,4.2,6.8
219,-42.8579,-43.302,4.2,6.8
220,-35.7149,-43.302,4.2,6.8
221,-28.5719,-43.302,4.2,6.8
222,-21.4289,-43.302,4.2,6.8
223,-14.286,-43.302,4.2,6.8
224,-7.1429800000000006,-43.302,4.2,6.8
225,0.0,-43.302,4.2,6.8
226,7.1429800000000006,-43.302,4.2,6.8
227,14.286,-43.302,4.2,6.8
228,21.4289,-43.302,4.2,6.8
229,28.5719,-43.302,4.2,6.8
230,35.7149,-43.302,4.2,6.8
231,42.8579,-43.302,4.2,6.8
232,50.0008,-43.302,4.2,6.8
233,-46.4293,-49.488,4.2,6.8
234,-39.2864,-49.488,4.2,6.8
235,-32.1434,-49.488,4.2,6.8
236,-25.0004,-49.488,4.2,6.8
237,-17.8574,-49.488,4.2,6.8
238,-10.7145,-49.488,4.2,6.8
239,-3.5714900000000003,-49.488,4.2,6.8
240,3.5714900000000003,-49.488,4.2,6.8
241,10.7145,-49.488,4.2,6.8
242,17.8574,-49.488,4.2,6.8
243,25.0004,-49.488,4.2,6.8
244,32.1434,-49.488,4.2,6.8
245,39.2864,-49.488,4.2,6.8
246,46.4293,-49.488,4.2,6.8
